index,x_m,E_x_profile_Vpm,y_m,E_y_profile_Vpm,relative_difference
48,-1.7999999999999997e-05,6435524.912699359,-1.7999999999999997e-05,6457295.482280802,0.0033828739499528805
49,-1.7749999999999998e-05,6491159.277841767,-1.7749999999999998e-05,6520090.9277094025,0.004457085187602213
50,-1.75e-05,6546793.642984176,-1.75e-05,6582886.373138004,0.005513039225317028
51,-1.725e-05,6602428.008126584,-1.725e-05,6645681.818566604,0.0065511975877330045
52,-1.7e-05,6658062.373268994,-1.7e-05,6708477.263995204,0.007572006373598707
53,-1.675e-05,6726845.882309755,-1.675e-05,6790399.637164292,0.009447779236576557
54,-1.6499999999999998e-05,6808778.535248871,-1.6499999999999998e-05,6891448.938073868,0.012141737669541523
55,-1.625e-05,6890711.188187987,-1.625e-05,6992498.238983443,0.01477163213137406
56,-1.6e-05,6972643.841127101,-1.6e-05,7093547.539893016,0.017339720989731675
57,-1.5749999999999997e-05,7054576.494066215,-1.5749999999999997e-05,7194596.840802592,0.019848157696518254
58,-1.5499999999999997e-05,7136509.147005331,-1.5499999999999997e-05,7295646.141712166,0.022298996810452307
59,-1.5249999999999998e-05,7218441.7999444455,-1.5249999999999998e-05,7396695.442621742,0.02469419960948757
60,-1.4999999999999999e-05,7300374.45288356,-1.4999999999999999e-05,7497744.743531315,0.02703563932529455
61,-1.4749999999999998e-05,7382307.105822677,-1.4749999999999998e-05,7598794.044440891,0.029325106029179315
62,-1.4499999999999997e-05,7464239.7587617915,-1.4499999999999997e-05,7699843.345350466,0.03156431119620914
63,-1.4249999999999997e-05,7546172.411700906,-1.4249999999999997e-05,7800892.646260041,0.033754891972011106
64,-1.3999999999999998e-05,7628105.064640022,-1.3999999999999998e-05,7901941.947169615,0.035898415164594445
65,-1.3749999999999999e-05,7710037.717579136,-1.3749999999999999e-05,8002991.24807919,0.037996380981653415
66,-1.35e-05,7791970.3705182485,-1.35e-05,8104040.548988763,0.04005022653208045
67,-1.3249999999999997e-05,7873903.023457366,-1.3249999999999997e-05,8205089.849898339,0.04206132910887081
68,-1.2999999999999998e-05,7976488.962723246,-1.2999999999999998e-05,8343086.662601769,0.04595978275551495
69,-1.2749999999999998e-05,8099728.188315886,-1.2749999999999998e-05,8518030.98709905,0.051644053856841586
70,-1.2499999999999999e-05,8222967.413908528,-1.2499999999999999e-05,8692975.31159633,0.05715794238620224
71,-1.2249999999999996e-05,8346206.639501172,-1.2249999999999996e-05,8867919.63609361,0.06250899589799996
72,-1.1999999999999997e-05,8469445.865093812,-1.1999999999999997e-05,9042863.960590892,0.06770432264764557
73,-1.1749999999999998e-05,8592685.090686457,-1.1749999999999998e-05,9217808.285088172,0.07275062309443657
74,-1.1499999999999998e-05,8715924.316279097,-1.1499999999999998e-05,9392752.609585453,0.07765421873182352
75,-1.1249999999999999e-05,8839163.54187174,-1.1249999999999999e-05,9567696.934082732,0.08242107850588781
76,-1.0999999999999996e-05,8962402.767464383,-1.0999999999999996e-05,9742641.258580016,0.08705684305419542
77,-1.0749999999999997e-05,9085641.993057026,-1.0749999999999997e-05,9917585.583077295,0.09156684697196031
78,-1.0499999999999998e-05,9208881.218649667,-1.0499999999999998e-05,10092529.907574575,0.09595613929033622
79,-1.0249999999999998e-05,9332120.444242308,-1.0249999999999998e-05,10267474.232071856,0.10022950233209203
80,-9.999999999999996e-06,9455359.669834951,-9.999999999999996e-06,10442418.556569139,0.10439146909272647
81,-9.749999999999996e-06,9578598.895427594,-9.749999999999996e-06,10617362.88106642,0.10844633927981742
82,-9.499999999999997e-06,9701838.121020235,-9.499999999999997e-06,10792307.2055637,0.11239819412991732
83,-9.249999999999998e-06,9857088.197038751,-9.249999999999998e-06,11100882.410423463,0.12618272135967806
84,-8.999999999999999e-06,10044349.123483136,-8.999999999999999e-06,11543088.495645706,0.14921219421361998
85,-8.749999999999996e-06,10231610.049927525,-8.749999999999996e-06,11985294.580867954,0.1713986872430552
86,-8.499999999999997e-06,10418870.976371912,-8.499999999999997e-06,12427500.666090194,0.1927876536981296
87,-8.249999999999997e-06,10606131.902816296,-8.249999999999997e-06,12869706.751312437,0.21342133675473934
88,-7.999999999999998e-06,10793392.829260685,-7.999999999999998e-06,13311912.836534679,0.23333904798186667
89,-7.749999999999999e-06,10980653.755705068,-7.749999999999999e-06,13754118.92175692,0.252577417315511
90,-7.499999999999996e-06,11167914.682149459,-7.499999999999996e-06,14196325.006979167,0.2711706178835921
91,-7.249999999999997e-06,11355175.608593844,-7.249999999999997e-06,14638531.092201408,0.28915056858501154
92,-6.999999999999997e-06,11542436.535038231,-6.999999999999997e-06,15080737.177423649,0.3065471169492289
