case,plane,s_m,z_m,Eabs_Vpm,ne_m3,rho_Cpm3
misaligned,xz,-2.953125e-05,4.945312500000003e-05,2421289.388805735,8.178674930085333e-05,-1.3100979815686493e-23
misaligned,xz,-2.953125e-05,5.023437500000003e-05,2428893.325288296,0.00018438904733599615,-2.9535805240580644e-23
misaligned,xz,-2.953125e-05,5.101562500000003e-05,2436497.360241862,0.00039338244546098045,-6.301187998703707e-23
misaligned,xz,-2.953125e-05,5.179687500000003e-05,2444214.3552542683,0.0007885683178203314,-1.26310900840324e-22
misaligned,xz,-2.953125e-05,5.257812500000003e-05,2451869.698610765,0.001494408770843285,-2.393679909617384e-22
misaligned,xz,-2.953125e-05,5.335937500000003e-05,2459606.0765941674,0.0026623437767350562,-4.264386137625843e-22
misaligned,xz,-2.953125e-05,5.414062500000003e-05,2467205.7849405394,0.004479294841656788,-7.1746213243057455e-22
misaligned,xz,-2.953125e-05,5.492187500000003e-05,2474847.281027061,0.007088036309232243,-1.1353061503141639e-21
misaligned,xz,-2.953125e-05,5.5703125000000034e-05,2482263.20680908,0.010582598453644645,-1.695033706527863e-21
misaligned,xz,-2.953125e-05,5.648437500000003e-05,2489674.1382155223,0.014864233600316095,-2.3808299888336393e-21
misaligned,xz,-2.953125e-05,5.726562500000003e-05,2496756.766407117,0.01968831529686945,-3.1535190392122386e-21
misaligned,xz,-2.953125e-05,5.8046875000000034e-05,2503780.190959831,0.024538686320955024,-3.930430541298991e-21
misaligned,xz,-2.953125e-05,5.8828125000000036e-05,2510359.73070192,0.028827908025293763,-4.61747894775716e-21
misaligned,xz,-2.953125e-05,5.960937500000003e-05,2516818.9712141943,0.03185550164905214,-5.10246384276336e-21
misaligned,xz,-2.953125e-05,6.0390625000000026e-05,2522708.0792715605,0.03312797129946307,-5.306335901293413e-21
misaligned,xz,-2.953125e-05,6.117187500000003e-05,2528409.9869206417,0.03250938193856093,-5.2073161293052445e-21
misaligned,xz,-2.953125e-05,6.195312500000002e-05,2533408.4451404335,0.030112207603363764,-4.823407584088267e-21
misaligned,xz,-2.953125e-05,6.273437500000003e-05,2538148.7016690043,0.02617169589834574,-4.19227172443005e-21
misaligned,xz,-2.953125e-05,6.351562500000003e-05,2542050.2313898704,0.02139907758826374,-3.427828327482855e-21
misaligned,xz,-2.953125e-05,6.429687500000004e-05,2545620.825468759,0.016497327941055955,-2.6426788941091915e-21
misaligned,xz,-2.953125e-05,6.507812500000003e-05,2548221.983461932,0.011961235597221585,-1.9160799204736592e-21
misaligned,xz,-2.953125e-05,6.585937500000003e-05,2550420.7288307846,0.008176892310282197,-1.309883655390583e-21
misaligned,xz,-2.953125e-05,6.664062500000002e-05,2551531.4978821357,0.00525263040350933,-8.414492335737703e-22
misaligned,xz,-2.953125e-05,6.742187500000003e-05,2552173.1021807147,0.0031830843603517667,-5.099243827591993e-22
misaligned,xz,-2.953125e-05,6.820312500000003e-05,2551628.403266902,0.001810529241869464,-2.9004762467353213e-22
misaligned,xz,-2.953125e-05,6.898437500000002e-05,2550556.195656836,0.0009723599026407669,-1.557746460489376e-22
misaligned,xz,-2.953125e-05,6.976562500000003e-05,2548227.184431369,0.0004894759803274478,-7.841633403656628e-23
misaligned,xz,-2.953125e-05,7.054687500000003e-05,2545324.25668473,0.000232873022880965,-3.7307788955970884e-23
misaligned,xz,-2.953125e-05,7.132812500000002e-05,2541128.031055838,0.00010368469500934889,-1.6611145426427963e-23
misaligned,xz,-2.953125e-05,7.210937500000003e-05,2536326.357145862,4.3674682844996193e-05,-6.99711514219166e-24
misaligned,xz,-2.953125e-05,7.289062500000003e-05,2530232.7028756877,1.7191553081097467e-05,-2.7542803365046583e-24
misaligned,xz,-2.953125e-05,7.367187500000003e-05,2523518.883262138,6.40801016023721e-06,-1.026643661036734e-24
misaligned,xz,-2.953125e-05,7.445312500000003e-05,2515552.985085571,2.2283126678327865e-06,-3.570061138791729e-25
misaligned,xz,-2.953125e-05,7.523437500000002e-05,2506969.660370975,7.344659217207961e-07,-1.176722126709239e-25
misaligned,xz,-2.953125e-05,7.601562500000003e-05,2497210.2843013033,2.2540605504890209e-07,-3.6113546848339206e-26
misaligned,xz,-2.953125e-05,7.679687500000003e-05,2486852.9232098334,6.56384913355132e-08,-1.051635515367146e-26
misaligned,xz,-2.953125e-05,7.757812500000002e-05,2475426.306589473,1.775528849926887e-08,-2.8446975663884676e-27
misaligned,xz,-2.953125e-05,7.835937500000003e-05,2463435.836331557,4.561062317098287e-09,-7.30761932318993e-28
misaligned,xz,-2.953125e-05,7.914062500000003e-05,2450506.2125095525,1.0855475168241823e-09,-1.7392419698240614e-28
misaligned,xz,-2.953125e-05,7.992187500000004e-05,2437058.6158440365,2.5003995685270404e-10,-4.006100186548732e-29
