case,plane,s_m,z_m,Eabs_Vpm,ne_m3,rho_Cpm3
aligned,xz,-2.953125e-05,-3.4921874999999987e-05,1928338.8720847876,4.420859941684648e-106,-7.083028208995985e-125
aligned,xz,-2.953125e-05,-3.414062499999999e-05,1944500.688502547,2.5061048936791167e-105,-4.015239743016108e-124
aligned,xz,-2.953125e-05,-3.335937499999999e-05,1960749.7891502096,8.659053517398241e-104,-1.3873393834412584e-122
aligned,xz,-2.953125e-05,-3.257812499999999e-05,1977363.2644865715,4.898309880959404e-103,-7.847992275469278e-122
aligned,xz,-2.953125e-05,-3.1796874999999985e-05,1994059.2233775924,1.649938826408727e-101,-2.6435054304681668e-120
aligned,xz,-2.953125e-05,-3.101562499999998e-05,2011114.3321461743,9.312995215379937e-101,-1.4921131593098348e-119
aligned,xz,-2.953125e-05,-3.0234374999999988e-05,2028243.4495519197,3.057041632501797e-99,-4.8979436727811455e-118
aligned,xz,-2.953125e-05,-2.9453124999999986e-05,2045721.5394871456,1.7215897496248397e-98,-2.7583039019591027e-117
aligned,xz,-2.953125e-05,-2.8671874999999987e-05,2063261.187084182,5.505217807152269e-97,-8.820374023500931e-116
aligned,xz,-2.953125e-05,-2.7890624999999985e-05,2081133.3611047692,3.0929236056501083e-96,-4.955434002203615e-115
aligned,xz,-2.953125e-05,-2.7109374999999986e-05,2099050.368776361,9.631480494585318e-95,-1.5431409605421992e-113
aligned,xz,-2.953125e-05,-2.6328124999999988e-05,2117275.7800221127,5.397742398099552e-94,-8.648179715922783e-113
aligned,xz,-2.953125e-05,-2.5546874999999986e-05,2135524.7202619556,1.636312142504965e-92,-2.621674357666433e-111
aligned,xz,-2.953125e-05,-2.4765624999999987e-05,2154048.7565600136,9.146736044201163e-92,-1.4654760812291835e-110
aligned,xz,-2.953125e-05,-2.3984374999999985e-05,2172570.1199388755,2.6984090091099284e-90,-4.323350059022898e-109
aligned,xz,-2.953125e-05,-2.3203124999999986e-05,2191322.5007175384,1.5043315931800849e-89,-2.4102172288984168e-108
aligned,xz,-2.953125e-05,-2.2421874999999988e-05,2210040.8038019333,4.317558076569832e-88,-6.917526408183509e-107
aligned,xz,-2.953125e-05,-2.1640624999999986e-05,2228933.670519285,2.4002873472244914e-87,-3.8457039736289283e-106
aligned,xz,-2.953125e-05,-2.0859374999999987e-05,2247755.5977725014,6.700166563993322e-86,-1.073490567306407e-104
aligned,xz,-2.953125e-05,-2.0078124999999988e-05,2266681.750225244,3.714086212231699e-85,-5.950652382998137e-104
aligned,xz,-2.953125e-05,-1.9296874999999986e-05,2285494.505019077,1.0080635116963792e-83,-1.6151040387018174e-102
aligned,xz,-2.953125e-05,-1.8515624999999988e-05,2304326.0196536286,5.571171277194827e-83,-8.926045045405218e-102
aligned,xz,-2.953125e-05,-1.773437499999999e-05,2322996.1444819667,1.469922321315944e-81,-2.355086940303387e-100
aligned,xz,-2.953125e-05,-1.6953124999999987e-05,2341583.701062404,8.098327835433608e-81,-1.2975014651594261e-99
aligned,xz,-2.953125e-05,-1.6171874999999988e-05,2359956.7152840276,2.0766712668039002e-79,-3.3272102072067706e-98
aligned,xz,-2.953125e-05,-1.5390624999999986e-05,2378130.040940305,1.1404094704522958e-78,-1.8271459202767965e-97
aligned,xz,-2.953125e-05,-1.4609374999999986e-05,2396031.318989368,2.841749885286134e-77,-4.553006160405221e-96
aligned,xz,-2.953125e-05,-1.3828124999999985e-05,2413601.2094217734,1.5553234679168835e-76,-2.491913894075327e-95
aligned,xz,-2.953125e-05,-1.3046874999999985e-05,2430838.5559915025,3.765677215203164e-75,-6.03330600863725e-94
aligned,xz,-2.953125e-05,-1.2265624999999985e-05,2447600.9180717818,2.0538576702042594e-74,-3.2906562466744113e-93
aligned,xz,-2.953125e-05,-1.1484374999999984e-05,2463969.2529991698,4.831164370619098e-73,-7.740409363694884e-92
aligned,xz,-2.953125e-05,-1.0703124999999984e-05,2479711.4923697775,2.625569218246766e-72,-4.206641378402539e-91
aligned,xz,-2.953125e-05,-9.921874999999985e-06,2494999.899437467,5.999887377947006e-71,-9.612913823752808e-90
