step,time_s,dt_s,topology,topology_status,head_position_m,E_peak_V_m,eta_peak,ne_peak_m3,sigma_e_peak_S_m,tau_i_at_E_peak_s,tau_M_at_E_peak_s,Pi_RF_at_E_peak,K_ion_z_A_m_s,current_moment_z_A_m
1756,8.7603073052661164e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.449351293376711e-05,22358642.764722526,8.4913605737005451,2623305588466359.5,1.4048568603109184e-05,6.0442781930464237e-12,6.3025551306632195e-07,104273.08157182322,0.027933367647375227,-4.3323098253921675e-13
1757,8.7653073052661157e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4494345574407329e-05,22358642.760805681,8.4913605722130061,2622381023040280,1.4043617285100216e-05,6.0442781948443718e-12,6.304777204512674e-07,104309.84480314791,0.027922751908124582,-4.3352303209763292e-13
1758,8.770307305266115e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4495177269904497e-05,22358642.756963007,8.4913605707536366,2621453718339919.5,1.4038651297471792e-05,6.0442781966082755e-12,6.307007436244636e-07,104346.74300371863,0.027912108748054082,-4.3381492701138317e-13
1759,8.7753073052661143e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4496008020890823e-05,22358642.753194578,8.4913605693224632,2620523676526384.5,1.4033670651797266e-05,6.0442781983380984e-12,6.3092458363101614e-07,104383.77634644476,0.027901438189583756,-4.3410666684890732e-13
1760,8.7803073052661135e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4496837828000974e-05,22358642.749500517,8.4913605679195339,2619590899766822,1.4028675359682343e-05,6.0442782000337855e-12,6.3114924152044032e-07,104420.94500496559,0.027890740255194457,-4.3439825117883057e-13
1761,8.7853073052661128e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4497666691872e-05,22358642.745880943,8.491360566544893,2618655390234416,1.4023665432765059e-05,6.0442782016952787e-12,6.3137471834667215e-07,104458.24915365185,0.027880014967427796,-4.3468967956997064e-13
1762,8.7903073052661121e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4498494613143226e-05,22358642.742335923,8.4913605651985655,2617717150108383,1.4018640882715758e-05,6.0442782033225482e-12,6.3160101516807854e-07,104495.68896760685,0.027869262348885801,-4.3498095159133452e-13
1763,8.7953073052661113e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4499321592456339e-05,22358642.738865629,8.4913605638806171,2616776181573966.5,1.401360172123704e-05,6.0442782049155179e-12,6.3182813304746923e-07,104533.26462266977,0.027858482422231406,-4.3527206681211995e-13
1764,8.8003073052661106e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4500147630455314e-05,22358642.735469986,8.4913605625910211,2615832486822434,1.40085479600638e-05,6.044278206474221e-12,6.3205607305210487e-07,104570.97629541428,0.027847675210187398,-4.3556302480171752e-13
1765,8.8053073052661099e-12,5e-15,ELECTRODE_ATTACHMENT,CONFIRMED,6.4500972727786376e-05,22358642.732149255,8.4913605613298753,2614886068051072,1.400347961096314e-05,6.0442782079985372e-12,6.3228483625371031e-07,104608.82416315528,0.027836840735538073,-4.3585382512971281e-13
