frequency_Hz,Z_real_ohm,Z_imag_ohm,S11_real,S11_imag,P_inc,P_ref,P_acc
4.000000000000000000e+08,1.000283365921709020e+02,9.363151101003003296e-01,3.334852101101207222e-01,4.159666654011222146e-03,2.830169249835780609e-28,3.147988431809446612e-29,2.515370406654836228e-28
4.050000000000000000e+08,1.000290633734539369e+02,9.480060143862639732e-01,3.334890909289653371e-01,4.211559655482029034e-03,2.900518004137233227e-28,3.226324809142376193e-29,2.577885523222995496e-28
4.100000000000000000e+08,1.000297994989776527e+02,9.596976368359935172e-01,3.334930213393898502e-01,4.263454157049891176e-03,2.972245804115597859e-28,3.306200575558550376e-29,2.641625746559742934e-28
4.150000000000000000e+08,1.000305449457689377e+02,9.713899826290912642e-01,3.334970012391371696e-01,4.315350161679188182e-03,3.045355825316672618e-28,3.387619470981431695e-29,2.706593878218529057e-28
4.200000000000000000e+08,1.000312996906886553e+02,9.830830554164647905e-01,3.335010305251184248e-01,4.367247665614719040e-03,3.119850375066378317e-28,3.470584272876907997e-29,2.772791947778687966e-28
4.250000000000000000e+08,1.000320637104806991e+02,9.947768573885751309e-01,3.335051090936290152e-01,4.419146658682275054e-03,3.195730866630509862e-28,3.555096767374646495e-29,2.840221189893045157e-28
4.300000000000000000e+08,1.000328369818201821e+02,1.006471389342761480e+00,3.335092368405633279e-01,4.471047124587062584e-03,3.272997793801515530e-28,3.641157720855009607e-29,2.908882021716014850e-28
4.350000000000000000e+08,1.000336194813602191e+02,1.018166650750598423e+00,3.335134136616202394e-01,4.522949041209085690e-03,3.351650705953985250e-28,3.728766852047721088e-29,2.978774020749212973e-28
4.400000000000000000e+08,1.000344111857778415e+02,1.029862639824208115e+00,3.335176394525082300e-01,4.574852380896767164e-03,3.431688183610904321e-28,3.817922804689118300e-29,3.049895903141992603e-28
4.450000000000000000e+08,1.000352120718186484e+02,1.041559353581148928e+00,3.335219141091426143e-01,4.626757110752130128e-03,3.513107814563127214e-28,3.908623120785131448e-29,3.122245502484614518e-28
4.500000000000000000e+08,1.000360221163405470e+02,1.053256787909045089e+00,3.335262375278397196e-01,4.678663192914915385e-03,3.595906170584834596e-28,4.000864214527577302e-29,3.195819749132076698e-28
4.550000000000000000e+08,1.000368412963559592e+02,1.064954937628256326e+00,3.335306096055056235e-01,4.730570584839076387e-03,3.680078784787898146e-28,4.094641346911493399e-29,3.270614650096749031e-28
4.600000000000000000e+08,1.000376695890731042e+02,1.076653796553475928e+00,3.335350302398180644e-01,4.782479239563220894e-03,3.765620129658357115e-28,4.189948601101581171e-29,3.346625269548199390e-28
4.650000000000000000e+08,1.000385069719362718e+02,1.088353357553849987e+00,3.335394993294079069e-01,4.834389105974839715e-03,3.852523595818163916e-28,4.286778858595919528e-29,3.423845709958572131e-28
4.700000000000000000e+08,1.000393534226643908e+02,1.100053612611278986e+00,3.335440167740292838e-01,4.886300129065901734e-03,3.940781471555447981e-28,4.385123776234904110e-29,3.502269093931957626e-28
4.750000000000000000e+08,1.000402089192886592e+02,1.111754552877637581e+00,3.335485824747287387e-01,4.938212250184567491e-03,4.030384923166463260e-28,4.484973764103687515e-29,3.581887546756094620e-28
4.800000000000000000e+08,1.000410734401889243e+02,1.123456168729411564e+00,3.335531963340067629e-01,4.990125407274004221e-03,4.121323976152160964e-28,4.586317964375905339e-29,3.662692179714570934e-28
4.850000000000000000e+08,1.000419469641288117e+02,1.135158449821324300e+00,3.335578582559753924e-01,5.042039535108239733e-03,4.213587497312225600e-28,4.689144231146466689e-29,3.744673074197579100e-28
4.900000000000000000e+08,1.000428294702893197e+02,1.146861385137789124e+00,3.335625681465074210e-01,5.093954565516350258e-03,4.307163177778949104e-28,4.793439111300618376e-29,3.827819266648887099e-28
4.950000000000000000e+08,1.000437209383012629e+02,1.158564963042544083e+00,3.335673259133830060e-01,5.145870427600203814e-03,4.402037517033015204e-28,4.899187826466351816e-29,3.912118734386379911e-28
5.000000000000000000e+08,1.000446213482764648e+02,1.170269171326356883e+00,3.335721314664287229e-01,5.197787047942934932e-03,4.498195807942754524e-28,5.006374256096438673e-29,3.997558382333110993e-28
