x_m,y_m,z_m,lsf_m,inside_conductor
-2.5e-05,1.1200000000000001e-05,7e-05,2.0809183109365368e-05,0
-2.5e-05,1.1599999999999997e-05,7e-05,2.0809183109365368e-05,0
-2.5e-05,1.2e-05,7e-05,2.0809183109365368e-05,0
-2.4e-05,-1.2e-05,7e-05,1.988793354795399e-05,0
-2.4e-05,-1.16e-05,7e-05,1.988793354795399e-05,0
-2.4e-05,-1.12e-05,7e-05,1.988793354795399e-05,0
-2.4e-05,-1.08e-05,7e-05,1.988793354795399e-05,0
-2.4e-05,-1.04e-05,7e-05,1.988793354795399e-05,0
-2.4e-05,-1e-05,7e-05,1.988793354795399e-05,0
-2.4e-05,-9.6e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,-9.2e-06,7e-05,1.988793354795399e-05,0
