x_m,y_m,z_m,lsf_m,inside_conductor
0.0,-1.16e-05,7.34e-05,6.6e-06,0
0.0,-1.16e-05,7.455e-05,6.6e-06,0
0.0,-1.16e-05,7.57e-05,6.6e-06,0
0.0,-1.16e-05,7.685e-05,6.6e-06,0
0.0,-1.16e-05,7.8e-05,6.6e-06,0
0.0,-1.16e-05,7.915e-05,6.6e-06,0
0.0,-1.16e-05,8.03e-05,6.6e-06,0
0.0,-1.16e-05,8.145e-05,6.6e-06,0
0.0,-1.16e-05,8.26e-05,6.6e-06,0
0.0,-1.16e-05,8.375e-05,6.6e-06,0
0.0,-1.16e-05,8.49e-05,6.6e-06,0
0.0,-1.16e-05,8.605e-05,6.6e-06,0
0.0,-1.16e-05,8.72e-05,6.6e-06,0
0.0,-1.16e-05,8.835e-05,6.6e-06,0
0.0,-1.16e-05,8.950000000000001e-05,6.6e-06,0
0.0,-1.16e-05,9.065000000000001e-05,6.6e-06,0
0.0,-1.16e-05,9.180000000000001e-05,6.6e-06,0
0.0,-1.16e-05,9.295000000000001e-05,6.6e-06,0
0.0,-1.16e-05,9.410000000000001e-05,6.6e-06,0
0.0,-1.16e-05,9.525000000000001e-05,6.6e-06,0
0.0,-1.16e-05,9.640000000000001e-05,6.6e-06,0
0.0,-1.16e-05,9.755e-05,6.6e-06,0
0.0,-1.16e-05,9.87e-05,6.6e-06,0
0.0,-1.16e-05,9.985e-05,6.6e-06,0
0.0,-1.16e-05,0.000101,6.6e-06,0
0.0,-1.16e-05,0.00010215,6.6e-06,0
0.0,-1.16e-05,0.0001033,6.6e-06,0
0.0,-1.16e-05,0.00010445,6.6e-06,0
0.0,-1.16e-05,0.00010559999999999999,6.6e-06,0
0.0,-1.16e-05,0.00010674999999999999,6.6e-06,0
0.0,-1.16e-05,0.0001079,6.6e-06,0
0.0,-1.16e-05,0.00010905,6.6e-06,0
0.0,-1.16e-05,0.0001102,6.6e-06,0
0.0,-1.16e-05,0.00011135,6.6e-06,0
0.0,-1.16e-05,0.0001125,6.6e-06,0
0.0,-1.16e-05,0.00011365,6.6e-06,0
