x_m,y_m,z_m,lsf_m,inside_conductor
-2.7e-05,0.0,6.305e-05,2.5355037889618665e-05,0
-2.7e-05,0.0,6.42e-05,2.4907720047022248e-05,0
-2.7e-05,0.0,6.535e-05,2.4460402204425824e-05,0
-2.7e-05,0.0,6.65e-05,2.4013084361829414e-05,0
-2.7e-05,0.0,6.765e-05,2.3565766519232983e-05,0
-2.7e-05,0.0,6.88e-05,2.3118448676636573e-05,0
-2.7e-05,0.0,6.995e-05,2.2671130834040156e-05,0
-2.7e-05,0.0,7.11e-05,2.2223812991443745e-05,0
-2.7e-05,0.0,7.225e-05,2.177649514884732e-05,0
-2.7e-05,0.0,7.34e-05,2.1329177306250904e-05,0
-2.7e-05,0.0,7.455e-05,2.0881859463654494e-05,0
-2.7e-05,0.0,7.57e-05,2.0434541621058077e-05,0
-2.7e-05,0.0,7.685e-05,1.9987223778461653e-05,0
-2.7e-05,0.0,7.8e-05,1.9539905935865236e-05,0
-2.7e-05,0.0,7.915e-05,1.909258809326882e-05,0
-2.7e-05,0.0,8.03e-05,1.8645270250672395e-05,0
-2.7e-05,0.0,8.145e-05,1.8197952408075984e-05,0
-2.7e-05,0.0,8.26e-05,1.7750634565479567e-05,0
-2.7e-05,0.0,8.375e-05,1.7303316722883143e-05,0
-2.7e-05,0.0,8.49e-05,1.6855998880286726e-05,0
-2.7e-05,0.0,8.605e-05,1.640868103769031e-05,0
-2.7e-05,0.0,8.72e-05,1.596136319509389e-05,0
-2.7e-05,0.0,8.835e-05,1.5514045352497475e-05,0
-2.7e-05,0.0,8.950000000000001e-05,1.5066727509901057e-05,0
-2.7e-05,0.0,9.065000000000001e-05,1.4619409667304637e-05,0
-2.7e-05,0.0,9.180000000000001e-05,1.4172091824708221e-05,0
-2.7e-05,0.0,9.295000000000001e-05,1.3724773982111804e-05,0
-2.7e-05,0.0,9.410000000000001e-05,1.3277456139515384e-05,0
-2.7e-05,0.0,9.525000000000001e-05,1.2830138296918967e-05,0
-2.7e-05,0.0,9.640000000000001e-05,1.2382820454322553e-05,0
-2.7e-05,0.0,9.755e-05,1.1935502611726136e-05,0
-2.7e-05,0.0,9.87e-05,1.1488184769129717e-05,0
-2.7e-05,0.0,9.985e-05,1.1040866926533305e-05,0
-2.7e-05,0.0,0.000101,1.0593549083936888e-05,0
-2.7e-05,0.0,0.00010215,1.0146231241340465e-05,0
-2.7e-05,0.0,0.0001033,9.698913398744048e-06,0
-2.7e-05,0.0,0.00010445,9.251595556147633e-06,0
-2.7e-05,0.0,0.00010559999999999999,8.804277713551222e-06,0
-2.7e-05,0.0,0.00010674999999999999,8.3569598709548e-06,0
-2.7e-05,0.0,0.0001079,7.909642028358383e-06,0
-2.7e-05,0.0,0.00010905,7.462324185761963e-06,0
-2.7e-05,0.0,0.0001102,7.01500634316555e-06,0
-2.7e-05,0.0,0.00011135,6.567688500569132e-06,0
-2.7e-05,0.0,0.0001125,6.120370657972709e-06,0
-2.7e-05,0.0,0.00011365,5.673090567957876e-06,0
-2.7e-05,0.0,0.0001148,5.29698740507661e-06,0
-2.7e-05,0.0,0.00011595,5.0686120243818844e-06,0
-2.7e-05,0.0,0.0001171,5.000624975587842e-06,0
-2.7e-05,0.0,0.00011825,5.097067370350825e-06,0
-2.7e-05,0.0,0.0001194,5.352245207128444e-06,0
-2.7e-05,0.0,0.00012055,5.752285415821406e-06,0
-2.7e-05,0.0,0.0001217,6.2784697014109035e-06,0
-2.7e-05,0.0,0.00012285,6.910726512218982e-06,0
-2.7e-05,0.0,0.000124,7.630145812734662e-06,0
-2.6000000000000002e-05,0.0,5.5e-05,2.8064449134018138e-05,0
-2.6000000000000002e-05,0.0,5.615e-05,2.7450328405454025e-05,0
-2.6000000000000002e-05,0.0,5.7300000000000004e-05,2.6867875719575372e-05,0
-2.6000000000000002e-05,0.0,5.8450000000000005e-05,2.631897849516589e-05,0
-2.6000000000000002e-05,0.0,5.96e-05,2.5805555019822136e-05,0
-2.6000000000000002e-05,0.0,6.075e-05,2.5329534058999275e-05,0
-2.6000000000000002e-05,0.0,6.19e-05,2.4881106170803697e-05,0
-2.6000000000000002e-05,0.0,6.305e-05,2.443378832820728e-05,0
-2.6000000000000002e-05,0.0,6.42e-05,2.3986470485610856e-05,0
-2.6000000000000002e-05,0.0,6.535e-05,2.353915264301444e-05,0
-2.6000000000000002e-05,0.0,6.65e-05,2.3091834800418028e-05,0
-2.6000000000000002e-05,0.0,6.765e-05,2.264451695782161e-05,0
-2.6000000000000002e-05,0.0,6.88e-05,2.2197199115225194e-05,0
-2.6000000000000002e-05,0.0,6.995e-05,2.174988127262877e-05,0
-2.6000000000000002e-05,0.0,7.11e-05,2.130256343003236e-05,0
-2.6000000000000002e-05,0.0,7.225e-05,2.0855245587435943e-05,0
-2.6000000000000002e-05,0.0,7.34e-05,2.0407927744839525e-05,0
-2.6000000000000002e-05,0.0,7.455e-05,1.9960609902243108e-05,0
-2.6000000000000002e-05,0.0,7.57e-05,1.951329205964669e-05,0
-2.6000000000000002e-05,0.0,7.685e-05,1.9065974217050267e-05,0
-2.6000000000000002e-05,0.0,7.8e-05,1.861865637445385e-05,0
-2.6000000000000002e-05,0.0,7.915e-05,1.8171338531857433e-05,0
-2.6000000000000002e-05,0.0,8.03e-05,1.7724020689261023e-05,0
-2.6000000000000002e-05,0.0,8.145e-05,1.7276702846664605e-05,0
-2.6000000000000002e-05,0.0,8.26e-05,1.682938500406818e-05,0
-2.6000000000000002e-05,0.0,8.375e-05,1.6382067161471758e-05,0
-2.6000000000000002e-05,0.0,8.49e-05,1.593474931887534e-05,0
-2.6000000000000002e-05,0.0,8.605e-05,1.5487431476278923e-05,0
-2.6000000000000002e-05,0.0,8.72e-05,1.504011363368251e-05,0
-2.6000000000000002e-05,0.0,8.835e-05,1.4592795791086096e-05,0
-2.6000000000000002e-05,0.0,8.950000000000001e-05,1.4145477948489674e-05,0
-2.6000000000000002e-05,0.0,9.065000000000001e-05,1.3698160105893256e-05,0
-2.6000000000000002e-05,0.0,9.180000000000001e-05,1.3250842263296836e-05,0
-2.6000000000000002e-05,0.0,9.295000000000001e-05,1.2803524420700422e-05,0
-2.6000000000000002e-05,0.0,9.410000000000001e-05,1.2356206578104005e-05,0
-2.6000000000000002e-05,0.0,9.525000000000001e-05,1.1908888735507584e-05,0
-2.6000000000000002e-05,0.0,9.640000000000001e-05,1.1461570892911167e-05,0
-2.6000000000000002e-05,0.0,9.755e-05,1.1014253050314757e-05,0
-2.6000000000000002e-05,0.0,9.87e-05,1.056693520771834e-05,0
-2.6000000000000002e-05,0.0,9.985e-05,1.011961736512192e-05,0
-2.6000000000000002e-05,0.0,0.000101,9.672299522525502e-06,0
-2.6000000000000002e-05,0.0,0.00010215,9.22498167992908e-06,0
-2.6000000000000002e-05,0.0,0.0001033,8.777663837332664e-06,0
-2.6000000000000002e-05,0.0,0.00010445,8.33034599473625e-06,0
-2.6000000000000002e-05,0.0,0.00010559999999999999,7.883028152139837e-06,0
-2.6000000000000002e-05,0.0,0.00010674999999999999,7.435710309543419e-06,0
-2.6000000000000002e-05,0.0,0.0001079,6.988392466947002e-06,0
-2.6000000000000002e-05,0.0,0.00010905,6.5410746243505855e-06,0
-2.6000000000000002e-05,0.0,0.0001102,6.093756781754163e-06,0
-2.6000000000000002e-05,0.0,0.00011135,5.646438939157746e-06,0
-2.6000000000000002e-05,0.0,0.0001125,5.199121096561329e-06,0
-2.6000000000000002e-05,0.0,0.00011365,4.751803253964908e-06,0
-2.6000000000000002e-05,0.0,0.0001148,4.337574531137653e-06,0
-2.6000000000000002e-05,0.0,0.00011595,4.078311945654838e-06,0
-2.6000000000000002e-05,0.0,0.0001171,4.000714249274856e-06,0
-2.6000000000000002e-05,0.0,0.00011825,4.110731326663949e-06,0
-2.6000000000000002e-05,0.0,0.0001194,4.400000000000006e-06,0
-2.6000000000000002e-05,0.0,0.00012055,4.848726011270882e-06,0
-2.6000000000000002e-05,0.0,0.0001217,5.431488599292547e-06,0
-2.6000000000000002e-05,0.0,0.00012285,6.122636680258633e-06,0
-2.6000000000000002e-05,0.0,0.000124,6.899494936611682e-06,0
-2.5e-05,0.0,5.5e-05,2.723243291566195e-05,0
-2.5e-05,0.0,5.615e-05,2.6601055724416318e-05,0
-2.5e-05,0.0,5.7300000000000004e-05,2.6001551682625537e-05,0
-2.5e-05,0.0,5.8450000000000005e-05,2.543593677022088e-05,0
-2.5e-05,0.0,5.96e-05,2.4906271696520122e-05,0
-2.5e-05,0.0,6.075e-05,2.441464024932664e-05,0
-2.5e-05,0.0,6.19e-05,2.395985660939231e-05,0
-2.5e-05,0.0,6.305e-05,2.3512538766795894e-05,0
-2.5e-05,0.0,6.42e-05,2.3065220924199477e-05,0
-2.5e-05,0.0,6.535e-05,2.261790308160306e-05,0
-2.5e-05,0.0,6.65e-05,2.2170585239006643e-05,0
-2.5e-05,0.0,6.765e-05,2.1723267396410226e-05,0
-2.5e-05,0.0,6.88e-05,2.12759495538138e-05,0
-2.5e-05,0.0,6.995e-05,2.0828631711217385e-05,0
-2.5e-05,0.0,7.11e-05,2.0381313868620974e-05,0
-2.5e-05,0.0,7.225e-05,1.993399602602455e-05,0
-2.5e-05,0.0,7.34e-05,1.9486678183428133e-05,0
-2.5e-05,0.0,7.455e-05,1.9039360340831716e-05,0
-2.5e-05,0.0,7.57e-05,1.8592042498235306e-05,0
-2.5e-05,0.0,7.685e-05,1.814472465563889e-05,0
-2.5e-05,0.0,7.8e-05,1.769740681304247e-05,0
-2.5e-05,0.0,7.915e-05,1.7250088970446047e-05,0
-2.5e-05,0.0,8.03e-05,1.6802771127849623e-05,0
-2.5e-05,0.0,8.145e-05,1.6355453285253213e-05,0
