G_length_S_m,Rsp_ohm,Ez_V_m,PJ_volume_W,PJ_circuit_W,joule_closure_relative,time_s,accepted_steps,rejected_steps,T_axis_K,T_max_K,T_min_K,p_axis_Pa,p_min_Pa,rho_axis_kg_m3,rho_min_kg_m3,sigma_axis_S_m,sigma_max_S_m,channel_radius_m,outward_velocity_max_m_s,internal_energy_J,kinetic_energy_J,total_energy_J,cumulative_Joule_J,conduction_boundary_loss_J,hydro_boundary_loss_J,radiation_loss_J,energy_residual_J,mass_residual_kg
3.0856891497806318e-06,324.07671397201244,19509.851875881668,1.174519191933412,1.1745191919334117,1.8905149141029948e-16,2.2056501319777484e-09,22,0,9436.614067915572,9436.614067915572,300.0,188008.82123945397,101325.0,0.03448408005293931,0.03448408005293931,2314.4235359627,2314.4235359627,7.694108187234371e-05,77.00998416880385,0.00020825517533817965,7.686800254704229e-10,0.00020825594401820512,1.7818562134456049e-09,0.0,-1.6230936140537719e-24,0.0,-5.856228814961193e-20,-5.32605839222442e-30
3.0479053733510295e-06,328.0941753452624,20006.468816290395,1.2199509304790213,1.2199509304790215,1.8201109518220056e-16,2.3057082849227794e-09,23,0,9408.656031425427,9408.656031425427,300.0,187115.18044775267,101325.0,0.034448776746996035,0.034448776746996035,2285.366083784439,2285.366083784439,7.699177280616079e-05,79.93930018922435,0.000208255226998818,8.345396081255529e-10,0.00020825606153842614,1.8993764343889522e-09,0.0,-1.7773676413542754e-24,0.0,1.0407463460725946e-20,-5.832296893005611e-30
3.010913427769226e-06,332.1251254775851,20512.05913606557,1.266825475478358,1.2668254754783583,1.7527639696477241e-16,2.4057295251842077e-09,24,0,9380.485892059756,9380.485892059756,300.0,186201.54917418837,101325.0,0.03441078008801555,0.03441078008801555,2256.09279919405,2256.09279919405,7.704285617554181e-05,82.74107704015736,0.0002082552810561725,9.025032587218257e-10,0.00020825618355943122,2.0213974395135473e-09,0.0,-1.938580732955557e-24,0.0,-2.484051801447527e-20,-1.0340393787453461e-25
2.97470102902242e-06,336.16823682231734,21025.593335661255,1.3150426682050371,1.3150426682050371,0.0,2.5057110176401278e-09,25,0,9352.129774836932,9352.129774836932,300.0,185268.79408732336,101325.0,0.034370119721152156,0.034370119721152156,2226.6325456969,2226.6325456969,7.709428499181901e-05,85.41067293485563,0.00020825533773306685,9.724854661223592e-10,0.00020825631021853297,2.148056541233054e-09,0.0,-2.106720377351901e-24,0.0,8.718095967849218e-22,-1.0340448961200454e-25
2.939256023665591e-06,340.22214871669627,21545.983916799945,1.3644891277480198,1.3644891277480198,0.0,2.605649888419231e-09,26,0,9323.615961210438,9323.615961210438,300.0,184317.90669444084,101325.0,0.034326838584856564,0.034326838584856564,2197.0166535128874,2197.0166535128874,7.714600848779988e-05,87.94415229899151,0.00020825539724218583,1.0444002264357873e-09,0.00020825644164241226,2.2794804205198047e-09,0.0,-2.2817732054873464e-24,0.0,7.551117990322485e-21,-7.487465433300683e-30
2.904566347881874e-06,344.2854733648071,22072.089694123217,1.4150383363668797,1.4150383363668795,1.5691773093238752e-16,2.7055432292586326e-09,27,0,9294.9744805191,9294.9744805191,300.0,183349.99328213083,101325.0,0.03428099305787338,0.03428099305787338,2167.2784956486466,2167.2784956486466,7.719797284265923e-05,90.33823890987821,0.00020825545978433925,1.1181614504724012e-09,0.00020825657794578973,2.415783798029595e-09,0.0,-2.463724985958046e-24,0.0,-3.61055887404754e-20,-1.0340566109550695e-25
2.870619990530313e-06,348.3568021189952,22602.72053688278,1.4665508827753857,1.4665508827753855,1.5140600134161131e-16,2.8053881017638805e-09,28,0,9266.23670186948,9266.23670186948,300.0,182366.2637645158,101325.0,0.0342326529069179,0.0342326529069179,2137.4530591722364,2137.4530591722364,7.725012190551474e-05,92.59026976219221,0.00020825552554674693,1.1936833650987186e-09,0.00020825671923011202,2.5570681203141843e-09,0.0,-2.6525606219303755e-24,0.0,-2.5877275711586914e-20,-1.0340628074530104e-25
2.837404959711925e-06,352.43471206927325,23136.642523798782,1.5188748694221608,1.5188748694221608,0.0,2.9051815417991186e-09,29,0,9237.43493357534,9237.43493357534,300.0,181368.01969876754,101325.0,0.03418190104752467,0.03418190104752467,2107.576518803979,2107.576518803979,7.730239790509262e-05,94.69815020273055,0.0002082555947013656,1.2708809039991806e-09,0.00020825686558226958,2.703420277893055e-09,0.0,-2.848264150173658e-24,0.0,-5.258341108169593e-20,-1.0340692293156188e-25
2.804909254193074e-06,356.5177727247663,23672.58347498082,1.571846486353319,1.571846486353319,0.0,3.0049205641168266e-09,30,0,9208.60203356369,9208.60203356369,300.0,180356.6416474798,101325.0,0.034128833133458346,0.034128833133458346,2077.6858162245294,2077.6858162245294,7.73547421394215e-05,96.66031073004677,0.00020825566740328026,1.3496700838392328e-09,0.0002082570170733641,2.854911372392158e-09,0.0,-3.05081874249249e-24,0.0,-3.475414912301401e-20,-1.03407587599069e-25
2.7731208384737626e-06,360.6045528655607,24209.238839554626,1.6252907528017344,1.6252907528017353,5.464735575275076e-16,3.1046021674313413e-09,31,0,9179.771043864606,9179.771043864606,300.0,179333.5762983908,101325.0,0.03407355699208966,0.03407355699208966,2047.8182589704272,2047.8182589704272,7.740709562250812e-05,98.47566573205356,0.0002082557437891795,1.4299683624908397e-09,0.000208257173757542,3.011595550316143e-09,0.0,-3.2602067101031316e-24,0.0,-6.52922123652143e-20,-1.0698120649592976e-29
