step,time_s,dt_s,topology,topology_status,head_position_m,E_peak_V_m,eta_peak,ne_peak_m3,sigma_e_peak_S_m,tau_i_at_E_peak_s,tau_M_at_E_peak_s,Pi_RF_at_E_peak,K_ion_z_A_m_s,current_moment_z_A_m
180,1.7999999999999948e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
181,1.8099999999999945e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
182,1.819999999999995e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
183,1.829999999999995e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
184,1.839999999999995e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
185,1.849999999999995e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
186,1.8599999999999957e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
187,1.869999999999996e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
188,1.879999999999996e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
189,1.889999999999996e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
190,1.899999999999996e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
191,1.909999999999996e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
192,1.9199999999999967e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
193,1.9299999999999964e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
194,1.939999999999997e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
195,1.9499999999999967e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
196,1.959999999999997e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
197,1.969999999999997e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
198,1.979999999999997e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
199,1.9899999999999974e-12,1e-14,UNRESOLVED,UNRESOLVED,,,,,,,,,,0.0
