step,time_s,dt_s,topology,topology_status,head_position_m,E_peak_V_m,eta_peak,ne_peak_m3,sigma_e_peak_S_m,tau_i_at_E_peak_s,tau_M_at_E_peak_s,Pi_RF_at_E_peak,K_ion_z_A_m_s,current_moment_z_A_m
159,1.5899999999999954e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
160,1.5999999999999954e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
161,1.6099999999999954e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
162,1.6199999999999953e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
163,1.6299999999999953e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
164,1.6399999999999952e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
165,1.6499999999999952e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
166,1.6599999999999951e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
167,1.6699999999999951e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
168,1.6799999999999951e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
169,1.689999999999995e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
170,1.699999999999995e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
171,1.7099999999999949e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
172,1.7199999999999949e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
173,1.7299999999999948e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
174,1.7399999999999948e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
175,1.7499999999999948e-12,1e-14,UNRESOLVED,UNRESOLVED,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
