step,time_s,dt_s,topology,topology_status,roi_definition,roi_cell_count,E_peak_V_m,eta_peak,ne_peak_m3,nu_i_at_E_peak_s_1,tau_i_at_E_peak_s,sigma_e_peak_S_m,tau_M_at_E_peak_s,Pi_RF_at_E_peak,K_ion_z_A_m_s,K_ion_abs_A_m_s,current_moment_z_A_m,dMdt_native_A_m_s
38,3.800000000000001e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.95587213,8.491368621670814,2799732261036285.0,165445993287.25766,6.044268465684373e-12,1.4993383680060784e-05,5.905396674784558e-07,97702.42186149996,0.0311676502070668,0.0311676502070668,-2.0201428051482555e-13,-0.06463731469956713
39,3.9000000000000004e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.948890064,8.491368619019168,2800090924060145.0,165445993199.5301,6.044268468889341e-12,1.4995304425715267e-05,5.904640253662381e-07,97689.90712530978,0.0311709891378967,0.0311709891378967,-2.020789218033666e-13,-0.06464526153759209
40,4.0000000000000006e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.941907447,8.49136861636731,2800449475974164.5,165445993111.79556,6.044268472094562e-12,1.499722457634426e-05,5.903884260535831e-07,97677.39947014493,0.0311743269257544,0.0311743269257544,-2.0214357103790074e-13,-0.0646532066849943
41,4.1000000000000015e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.934924297,8.49136861371525,2800807916751189.0,165445993024.05435,6.044268475300029e-12,1.4999144131802354e-05,5.903128695207791e-07,97664.89889274431,0.0311776635703779,0.0311776635703779,-2.022082282167366e-13,-0.0646611501398553
42,4.2000000000000017e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.927940626,8.491368611062995,2801166246364075.0,165445992936.3065,6.0442684785057364e-12,1.5001063091944164e-05,5.902373557481307e-07,97652.40538984945,0.0311809990715048,0.0311809990715048,-2.0227289333818046e-13,-0.0646690918999866
43,4.300000000000001e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.92095651,8.49136860841057,2801524464785682.0,165445992848.55313,6.044268481711645e-12,1.500298145662436e-05,5.901618847159581e-07,97639.91895820505,0.0311843334288735,0.0311843334288735,-2.0233756640053659e-13,-0.0646770319631571
44,4.4000000000000014e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.91397176,8.491368605757902,2801882571988878.0,165445992760.7918,6.044268484917846e-12,1.5004899225697651e-05,5.900864564045965e-07,97627.43959455616,0.0311876666422212,0.0311876666422212,-2.0240224740210677e-13,-0.06468497032727782
45,4.5000000000000017e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.90698656,8.491368603105062,2802240567946537.0,165445992673.0247,6.044268488124258e-12,1.5006816399018746e-05,5.900110707943993e-07,97614.96729565361,0.0311909987112864,0.0311909987112864,-2.0246693634119114e-13,-0.06469290699041608
46,4.6000000000000025e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.900000807,8.491368600452017,2802598452631542.0,165445992585.2509,6.044268491330914e-12,1.500873297644245e-05,5.899357278657326e-07,97602.50205824859,0.0311943296358071,0.0311943296358071,-2.025316332160876e-13,-0.06470084195034076
47,4.700000000000002e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.893014584,8.49136859779879,2802956226016779.5,165445992497.47095,6.044268494537795e-12,1.5010648957823537e-05,5.898604275989818e-07,97590.04387909613,0.0311976594155214,0.0311976594155214,-2.0259633802509187e-13,-0.06470877520483498
48,4.800000000000002e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.8860278,8.49136859514535,2803313888075145.0,165445992409.68408,6.044268497744928e-12,1.5012564343016875e-05,5.897851699745449e-07,97577.59275495278,0.0312009880501675,0.0312009880501675,-2.0266105076649726e-13,-0.0647167067517671
49,4.900000000000003e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.87904048,8.491368592491705,2803671438779540.0,165445992321.89032,6.044268500952314e-12,1.5014479131877335e-05,5.897099549728381e-07,97565.14868257847,0.0312043155394835,0.0312043155394835,-2.027257714385954e-13,-0.06472463658940342
50,5.000000000000003e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.87205267,8.491368589837878,2804028878102873.0,165445992234.09058,6.0442685041599175e-12,1.5016393324259838e-05,5.896347825742922e-07,97552.711658736,0.031207641883208,0.031207641883208,-2.0279050003967607e-13,-0.06473256471551281
51,5.100000000000004e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.8650644,8.491368587183874,2804386206018060.0,165445992146.285,6.044268507367735e-12,1.5018306920019331e-05,5.895596527593539e-07,97540.28168019057,0.0312109670810795,0.0312109670810795,-2.028552365680264e-13,-0.06474049112770786
52,5.200000000000004e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.858075563,8.491368584529656,2804743422498022.5,165445992058.47235,6.04426851057581e-12,1.5020219919010811e-05,5.894845655084863e-07,97527.85874370906,0.0312142911328361,0.0312142911328361,-2.029199810219315e-13,-0.06474841582399904
53,5.300000000000004e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.85108623,8.491368581875248,2805100527515690.0,165445991970.6534,6.044268513784116e-12,1.502213232108931e-05,5.894095208021675e-07,97515.44284606205,0.0312176140382165,0.0312176140382165,-2.029847333996744e-13,-0.06475633880228315
54,5.400000000000004e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.844096363,8.491368579220639,2805457521043998.5,165445991882.8278,6.044268516992665e-12,1.5024044126109885e-05,5.893345186208915e-07,97503.03398402224,0.0312209357969593,0.0312209357969593,-2.030494936995361e-13,-0.06476426006069858
55,5.500000000000004e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.837106,8.491368576565838,2805814403055890.5,165445991794.99585,6.044268520201445e-12,1.5025955333927632e-05,5.892595589451688e-07,97490.63215436524,0.0312242564088032,0.0312242564088032,-2.031142619197958e-13,-0.06477217959712789
56,5.6000000000000045e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.830115102,8.49136857391084,2806171173524315.5,165445991707.15738,6.044268523410465e-12,1.5027865944397695e-05,5.891846417555245e-07,97478.23735386896,0.0312275758734869,0.0312275758734869,-2.0317903805873034e-13,-0.06478009740894208
57,5.700000000000005e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.823123727,8.491368571255654,2806527832422230.0,165445991619.3127,6.044268526619709e-12,1.5029775957375244e-05,5.891097670325001e-07,97465.8495793143,0.0312308941907492,0.0312308941907492,-2.032438221146137e-13,-0.06478801349473429
58,5.800000000000004e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.81613184,8.491368568600278,2806884379722597.0,165445991531.4617,6.044268529829186e-12,1.5031685372715492e-05,5.890349347566528e-07,97453.46882748426,0.031234211360329,0.031234211360329,-2.033086140857198e-13,-0.0647959278522734
59,5.900000000000004e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.809139416,8.491368565944697,2807240815398388.5,165445991443.60388,6.044268533038912e-12,1.5033594190273688e-05,5.889601449085549e-07,97441.09509516448,0.0312375273819651,0.0312375273819651,-2.0337341397031826e-13,-0.06480384047910093
60,6.000000000000003e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.802146506,8.49136856328893,2807597139422579.5,165445991355.74002,6.044268536248859e-12,1.5035502409905114e-05,5.888853974687952e-07,97428.72837914382,0.0312408422553967,0.0312408422553967,-2.03438221766678e-13,-0.06481175137338369
61,6.100000000000003e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.795153048,8.491368560632958,2807953351768155.0,165445991267.8693,6.044268539459055e-12,1.5037410031465094e-05,5.888106924179773e-07,97416.36867621273,0.0312441559803626,0.0312441559803626,-2.03503037473065e-13,-0.06481966053316057
62,6.200000000000003e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.78815916,8.491368557976822,2808309452408105.0,165445991179.99313,6.044268542669452e-12,1.5039317054808985e-05,5.887360297367212e-07,97404.01598316577,0.0312474685566024,0.0312474685566024,-2.0356786108774434e-13,-0.06482756795644207
63,6.300000000000001e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.781164795,8.491368555320499,2808665441315429.0,165445991092.11087,6.04426854588007e-12,1.5041223479792167e-05,5.886614094056626e-07,97391.67029679865,0.031250779983855,0.031250779983855,-2.036326926089779e-13,-0.06483547364055653
64,6.400000000000002e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.774169832,8.491368552663955,2809021318463130.0,165445991004.22128,6.044268549090957e-12,1.5043129306270105e-05,5.885868314054511e-07,97379.33161390937,0.0312540902618594,0.0312540902618594,-2.0369753203502544e-13,-0.06484337758384129
65,6.5e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.767174404,8.491368550007234,2809377083824220.0,165445990916.32578,6.0442685523020594e-12,1.5045034534098243e-05,5.885122957167541e-07,97366.9999313001,0.0312573993903552,0.0312573993903552,-2.0376237936414558e-13,-0.0648512797844063
66,6.600000000000001e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.760178477,8.491368547350318,2809732737371717.0,165445990828.42392,6.0442685555133935e-12,1.5046939163132086e-05,5.884378023202537e-07,97354.67524577459,0.0312607073690819,0.0312607073690819,-2.0382723459459426e-13,-0.06485918024000625
67,6.7e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.753182054,8.491368544693222,2810088279078648.5,165445990740.51593,6.044268558724952e-12,1.5048843193227192e-05,5.88363351196647e-07,97342.35755413938,0.0312640141977788,0.0312640141977788,-2.038920977246256e-13,-0.06486707894839583
68,6.8e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.746185128,8.49136854203593,2810443708918044.5,165445990652.6016,6.044268561936743e-12,1.5050746624239129e-05,5.882889423266477e-07,97330.04685320344,0.0312673198761855,0.0312673198761855,-2.0395696875249105e-13,-0.06487497590779867
69,6.9e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.73918772,8.491368539378456,2810799026862945.0,165445990564.68127,6.044268565148752e-12,1.505264945602352e-05,5.882145756909842e-07,97317.74313977857,0.0312706244040417,0.0312706244040417,-2.0402184767644118e-13,-0.0648828711158842
70,6.999999999999999e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.73218976,8.491368536720769,2811154232886397.0,165445990476.75385,6.044268568361021e-12,1.5054551688436024e-05,5.881402512704009e-07,97305.44641067837,0.0312739277810866,0.0312739277810866,-2.040867344947228e-13,-0.06489076457064868
71,7.099999999999999e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.72519132,8.491368534062907,2811509326961453.0,165445990388.82053,6.044268571573505e-12,1.5056453321332323e-05,5.880659690456574e-07,97293.15666272028,0.0312772300070605,0.0312772300070605,-2.041516292055825e-13,-0.06489865627032998
72,7.199999999999998e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.71819241,8.491368531404861,2811864309061173.0,165445990300.88126,6.044268574786206e-12,1.505835435456815e-05,5.879917289975293e-07,97280.87389272364,0.0312805310817029,0.0312805310817029,-2.0421653180726346e-13,-0.0649065462125833
73,7.299999999999998e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.711193003,8.491368528746627,2812219179158625.0,165445990212.93573,6.044268577999136e-12,1.5060254787999269e-05,5.879175311068071e-07,97268.59809751014,0.0312838310047538,0.0312838310047538,-2.0428144229800766e-13,-0.06491443439543332
74,7.399999999999996e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.70419307,8.491368526088195,2812573937226882.0,165445990124.98364,6.044268581212306e-12,1.5062154621481494e-05,5.878433753542969e-07,97256.32927390403,0.031287129775953,0.031287129775953,-2.0434636067605433e-13,-0.06492232081673421
75,7.499999999999997e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.69719265,8.491368523429578,2812928583239025.0,165445990037.0254,6.0442685844257e-12,1.5064053854870652e-05,5.877692617208203e-07,97244.06741873261,0.0312904273950406,0.0312904273950406,-2.0441128693964115e-13,-0.06493020547461015
76,7.599999999999997e-14,1e-15,ELECTRODE_ATTACHMENT,CONFIRMED,ATTACHMENT_ROI,2,22358663.690191757,8.491368520770779,2813283117168142.5,165445989949.0612,6.044268587639313e-12,1.506595248802263e-05,5.876951901872147e-07,97231.81252882553,0.0312937238617566,0.0312937238617566,-2.044762210870036e-13,-0.06493808836691528
