x_m,y_m,potential_V,Ex_V_m,Ey_V_m,E_mag_V_m,domain_id,cell_area_m2
4.3749999999999994e-07,7.874999999999998e-06,56.25000730931726,0.07895867420966203,-7142862.289221813,7142862.289221813,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,8.312499999999999e-06,59.375009919874536,0.10715913857962743,-7142864.00847933,7142864.008479331,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,8.75e-06,62.500013394461305,0.14469325480744608,-7142866.261798634,7142866.261798636,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,9.187499999999998e-06,65.62501799912205,0.19443496061598198,-7142869.203389764,7142869.203389767,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,9.624999999999998e-06,68.75002407605093,0.2600807972894952,-7142873.028672877,7142873.028672881,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,1.0062499999999999e-05,71.87503206375645,0.3463677394845565,-7142877.984379909,7142877.984379917,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,1.0499999999999998e-05,75.0000425221203,0.4593438921399077,-7142884.380892435,7142884.38089245,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,1.0937499999999998e-05,78.1250561634212,0.6067036241087798,-7142892.607250429,7142892.607250455,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,1.1374999999999999e-05,81.25007389059994,0.7982009251453797,-7142903.149336737,7142903.149336781,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,1.1812499999999999e-05,84.37509684427947,1.0461573397931623,-7142916.6118200775,7142916.611820154,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,1.2249999999999998e-05,87.50012646032766,1.3660837865975786,-7142933.744525549,7142933.744525679,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,1.2687499999999998e-05,90.62516454006298,1.7774389520992246,-7142955.473995792,7142955.4739960125,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,1.3124999999999999e-05,93.75021333555917,2.3045507934425506,-7142982.941107761,7142982.941108133,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,1.3562499999999998e-05,96.87527565290753,2.9777320258726836,-7143017.545718873,7143017.545719493,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,1.3999999999999998e-05,100.00035497674597,3.8346253423251624,-7143060.999430936,7143060.999431965,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,1.4437499999999999e-05,103.12545561986558,4.921819535724088,-7143115.387679086,7143115.387680782,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,1.4874999999999997e-05,106.25058290226116,6.296783685462016,-7143183.242473842,7143183.242476617,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,1.53125e-05,109.37574336459839,8.03017313080048,-7143267.627244375,7143267.627248888,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,1.5749999999999997e-05,112.50094502173019,10.208568073166276,-7143372.235346544,7143372.235353838,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,1.6187499999999997e-05,115.62619766260214,12.937713294865777,-7143501.503905674,7143501.5039173905,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,1.6624999999999998e-05,118.75151320363827,16.346335598521993,-7143660.744756093,7143660.744774795,gas_gap,1.9140624999999994e-13
4.3749999999999994e-07,1.7062499999999998e-05,121.87690610348594,20.590624076541125,-7143856.294310525,7143856.294340199,gas_gap,1.9140624999999994e-13
