frequency_Hz,Zin_real_ohm,Zin_imag_ohm,S11_real,S11_imag,S11_dB,S21_real,S21_imag,S21_dB,S21_phase_deg,dipole_directivity_linear,dipole_directivity_dBi
206500000,17.6820922,-405.674512,0.959987572,-0.239827429,-0.0917590611,-0.00139622488,0.00345084319,-48.5830688,112.028452,1.54124259,1.87871002
207000000,17.7779373,-403.774624,0.959566409,-0.240875699,-0.093110108,-0.00137665034,0.0035077442,-48.4772892,111.428036,1.54145097,1.87929715
207500000,17.8741233,-401.881015,0.959140341,-0.241929036,-0.0944811245,-0.00135623989,0.00356514846,-48.3714685,110.827621,1.54165994,1.87988587
208000000,17.9706514,-399.993635,0.9587093,-0.242987477,-0.0958724312,-0.00133497804,0.0036230545,-48.2656051,110.227206,1.54186949,1.88047616
208500000,18.0675225,-398.112434,0.958273217,-0.244051059,-0.0972843548,-0.00131284912,0.00368146066,-48.1596973,109.62679,1.54207964,1.88106803
209000000,18.1647374,-396.237362,0.957832022,-0.24511982,-0.0987172277,-0.00128983725,0.00374036518,-48.0537434,109.026375,1.54229038,1.88166149
209500000,18.2622974,-394.368368,0.957385643,-0.246193798,-0.100171389,-0.00126592634,0.00379976613,-47.9477419,108.425959,1.54250171,1.88225653
210000000,18.3602032,-392.505404,0.956934008,-0.247273029,-0.101647183,-0.0012411001,0.00385966141,-47.841691,107.825544,1.54271363,1.88285316
210500000,18.458456,-390.648421,0.956477043,-0.248357552,-0.103144961,-0.00121534205,0.0039200488,-47.7355892,107.225129,1.54292614,1.88345137
211000000,18.5570567,-388.797371,0.956014672,-0.249447405,-0.104665082,-0.00118863548,0.0039809259,-47.6294347,106.624713,1.54313924,1.88405116
211500000,18.6560064,-386.952206,0.95554682,-0.250542627,-0.10620791,-0.00116096347,0.00404229015,-47.523226,106.024298,1.54335294,1.88465255
212000000,18.755306,-385.112878,0.955073408,-0.251643255,-0.107773816,-0.0011323089,0.00410413882,-47.4169613,105.423883,1.54356724,1.88525552
212500000,18.8549566,-383.279342,0.954594359,-0.252749329,-0.109363179,-0.00110265442,0.00416646902,-47.3106391,104.823467,1.54378213,1.88586009
213000000,18.9549591,-381.451549,0.954109592,-0.253860888,-0.110976385,-0.00107198247,0.00422927768,-47.2042576,104.223052,1.54399761,1.88646625
213500000,19.0553147,-379.629455,0.953619026,-0.254977969,-0.112613826,-0.00104027527,0.00429256155,-47.0978152,103.622636,1.5442137,1.887074
214000000,19.1560244,-377.813012,0.953122578,-0.256100612,-0.114275902,-0.0010075148,0.0043563172,-46.9913104,103.022221,1.54443038,1.88768335
214500000,19.2570891,-376.002177,0.952620163,-0.257228858,-0.115963022,-0.000973682825,0.00442054102,-46.8847413,102.421806,1.54464765,1.88829429
215000000,19.35851,-374.196903,0.952111696,-0.258362744,-0.117675602,-0.00093876089,0.00448522919,-46.7781063,101.82139,1.54486553,1.88890683
215500000,19.4602881,-372.397147,0.951597091,-0.25950231,-0.119414063,-0.000902730295,0.00455037771,-46.6714039,101.220975,1.545084,1.88952096
216000000,19.5624244,-370.602864,0.951076258,-0.260647597,-0.12117884,-0.000865572113,0.00461598239,-46.5646323,100.62056,1.54530308,1.8901367
216500000,19.66492,-368.814011,0.950549109,-0.261798643,-0.122970371,-0.000827267176,0.00468203881,-46.45779,100.020144,1.54552275,1.89075404
217000000,19.767776,-367.030543,0.95001555,-0.262955489,-0.124789104,-0.000787796079,0.00474854237,-46.3508751,99.4197288,1.54574303,1.89137297
217500000,19.8709934,-365.252419,0.949475491,-0.264118175,-0.126635498,-0.000747139174,0.00481548823,-46.2438862,98.8193135,1.54596391,1.89199352
