time_s,observer_id,retarded_time_valid,retarded_time_valid_fraction,source_manifest_id,Ex_total,Ey_total,Ez_total,Ex_rho,Ey_rho,Ez_rho,Ex_drho,Ey_drho,Ez_drho,Ex_dJ,Ey_dJ,Ez_dJ,Bx_total,By_total,Bz_total,Bx_J,By_J,Bz_J,Bx_dJ,By_dJ,Bz_dJ
1.3838210499745694e-09,F4_far_field_reference,True,1.0,F4-C-stage5-highfield-collision,0.9150687697366661,-2.4627060127699743e-16,-4.393152460541125,0.09909533985868157,-3.925483218397794e-17,-0.20462627025270425,0.8157612029753031,4.733700678900756e-17,-0.8096289591069876,0.00021222690268141842,-2.5435277588202703e-16,-3.378897231181433,-6.643909732120572e-27,1.3978497640886607e-08,-6.483352320343107e-26,1.7863976468161224e-28,2.7080517673320673e-09,-3.101362994792383e-25,-6.822549496802184e-27,1.127044587355454e-08,2.453027762758072e-25
1.415578687116992e-09,F4_far_field_reference,True,1.0,F4-C-stage5-highfield-collision,1.3097495634278247,-1.3741132252062123e-18,-5.504143698451455,0.14493730848622646,4.061480279832522e-17,-0.24691295902998414,1.1646324649131636,2.0071746101133466e-17,-0.9872375065272667,0.00017979002843459418,-6.20606621246649e-17,-4.269993232894204,1.9059917343787638e-27,1.754669111062463e-08,1.7876117677391598e-25,9.95822645119972e-27,3.30394364147245e-09,-5.612772653467961e-26,-8.052234716820956e-27,1.4242747469152178e-08,2.348889033085956e-25
1.4473363242594146e-09,F4_far_field_reference,True,1.0,F4-C-stage5-highfield-collision,1.8538199193333151,-1.7684792872585862e-16,-7.071472441538728,0.20998770892945842,6.296337480581152e-18,-0.29857521336588727,1.6438260482844722,-4.7791323020933646e-17,-1.2138002888495452,6.162119384452029e-06,-1.3535294318550613e-16,-5.559096939323296,8.09286810650954e-27,2.260591366155281e-08,-7.388152691983272e-25,-2.8168431910977327e-27,4.063267691649553e-09,-1.9703179881128041e-25,1.0909711297607272e-26,1.8542645969903257e-08,-5.417834703870467e-25
1.479093961401837e-09,F4_far_field_reference,True,1.0,F4-C-stage5-highfield-collision,2.588700055931324,1.9166626353526153e-16,-9.499285608032599,0.30134638958230375,-1.4394679926125826e-17,-0.36236883189965596,2.2879785606346577,7.62920867901711e-17,-1.514949287257298,-0.0006248942856376026,1.2976885667121627e-16,-7.6219674888756455,-4.669693227263641e-26,3.04906200804407e-08,6.194753255912188e-25,7.143590285918895e-27,5.067069167863972e-09,-8.016824702597515e-26,-5.384052255855531e-26,2.5423550912576723e-08,6.99643572617194e-25
1.5108515985442594e-09,F4_far_field_reference,True,1.0,F4-C-stage5-highfield-collision,3.549866810091406,-4.969743475326587e-16,-13.411959217051248,0.4283625778636518,-4.699902700170616e-17,-0.4430269134063549,3.1236433259814635,-5.4002654062063556e-17,-1.9440392629156689,-0.002139093753709264,-3.9597266646888895e-16,-11.024893040729225,1.6330757614521179e-25,4.326640605655964e-08,2.552400425150292e-24,4.6381972715053705e-26,6.491982215826586e-09,2.4459895794075096e-25,1.1692560343015809e-25,3.6774423840733055e-08,2.3078014672095412e-24
1.5426092356866822e-09,F4_far_field_reference,True,1.0,F4-C-stage5-highfield-collision,4.733626128942866,1.0527723202470002e-15,-17.783349330554366,0.5989311299230083,-1.592712914271093e-16,-0.547332951156977,4.137495253982887,2.1714796813550956e-16,-2.546385975424087,-0.002800254963028763,9.948956435386e-16,-14.6896304039733,-2.404257845931997e-26,5.7567338018372135e-08,-6.107952067325926e-25,-1.292511711568586e-26,8.568801394283059e-09,-3.3248578478640577e-25,-1.1117461343634111e-26,4.8998536624089076e-08,-2.783094219461868e-25
1.5743668728291047e-09,F4_far_field_reference,True,1.0,F4-C-stage5-highfield-collision,6.163018419357554,4.656077697169063e-16,-18.736362363135854,0.8176890894700882,-4.096167961472007e-17,-0.6824287111047889,5.344182476074816,6.362506866932939e-16,-3.271489583915183,0.001146853812650298,-1.2968123736166742e-16,-14.78244406811588,2.0587372958375323e-26,6.047490725620027e-08,1.5614700421996118e-24,1.031321092039332e-26,1.1167181093730403e-08,-2.547728030844355e-26,1.0274162037982004e-26,4.930772616246986e-08,1.5869473225080553e-24
1.606124509971527e-09,F4_far_field_reference,True,1.0,F4-C-stage5-highfield-collision,9.338235303738747,5.687303985520005e-16,-18.345325290356826,1.1290969024467663,1.638645817546477e-17,-0.8542187684455574,8.203846174106546,5.007145502175507e-16,-3.884561742090962,0.005292227185434572,5.162939015898506e-17,-13.606544779820307,-3.561553635461458e-26,5.869400419021469e-08,-1.1047828578264724e-24,-2.802636373157078e-26,1.3309230881713853e-08,-1.5861133298122878e-25,-7.589172623043802e-27,4.538477330850084e-08,-9.461715248452437e-25
1.6378821471139497e-09,F4_far_field_reference,True,1.0,F4-C-stage5-highfield-collision,14.983867386539101,-1.7480307464512138e-15,-21.40526102267681,1.6243290930906293,3.0737289941863875e-17,-1.053865260597206,13.354804498901176,2.2848296321827637e-16,-4.521065503422312,0.004733794547296123,-2.007250999611354e-15,-15.830330258657295,1.268476481915321e-27,6.837830179297471e-08,-2.7612328005070736e-24,9.092855286937525e-27,1.5576376411039752e-08,-2.727870206490545e-25,-7.824378805022204e-27,5.2801925381934956e-08,-2.488445779858019e-24
1.6696397842563723e-09,F4_far_field_reference,True,1.0,F4-C-stage5-highfield-collision,23.072407296596218,2.0928853846469903e-15,-25.96604848371319,2.4044834603429286,-7.176059792698146e-17,-1.2850729915650865,20.66417408988645,1.1088078361507918e-15,-5.268368277544614,0.0037497463668404157,1.0558381464231802e-15,-19.41260721460349,5.685772658985028e-27,8.30915343620172e-08,1.1206126896307497e-23,-4.015192135699231e-26,1.8341112258877275e-08,3.375868604013709e-26,4.583769401597734e-26,6.475042210313992e-08,1.117236821026736e-23
1.7013974213987947e-09,F4_far_field_reference,True,1.0,F4-C-stage5-highfield-collision,34.36451077280828,-6.6983950899185235e-15,-31.205275221761084,3.588509267922513,3.999987961280672e-17,-1.555000969713305,30.77320942936621,-8.854785306940224e-16,-6.15794627226658,0.002792075519558539,-5.852916438837308e-15,-23.492327979781198,5.372767436264698e-26,1.0009202636402134e-07,-1.3238799186495652e-23,-1.1730305081082775e-26,2.173403104217994e-08,-2.6392285705248153e-24,6.545797944372976e-26,7.83579953218414e-08,-1.0599570615970835e-23
1.7331550585412171e-09,F4_far_field_reference,True,1.0,F4-C-stage5-highfield-collision,49.87158073713841,-5.580638243695253e-16,-36.862690922101834,5.323052102761619,1.6993513894711762e-16,-1.8702242684728,44.54692248822025,-1.742296691148253e-16,-7.186042594276343,0.0016061461565402364,-5.537692942018177e-16,-27.80642405935269,-6.354289222136384e-26,1.1853128132480135e-07,7.976226841063468e-24,-7.968547863646548e-27,2.5784265338880862e-08,-1.8664347706142455e-25,-5.55743443577173e-26,9.27470159859205e-08,8.162870318124893e-24
