x_m,y_m,potential_V,Ex_V_m,Ey_V_m,E_mag_V_m,domain_id,cell_area_m2
0.0,3.5e-05,252.29477696275404,0.0,-7767470.990707359,7767470.990707359,gas_gap,7.656249999999998e-13
0.0,3.5875e-05,259.1469133684025,0.0,-7897227.447583859,7897227.447583859,gas_gap,7.656249999999998e-13
0.0,3.674999999999999e-05,266.1195242109421,0.0,-8042725.105062251,8042725.105062251,gas_gap,7.656249999999998e-13
0.0,3.762499999999999e-05,273.2259511979499,0.0,-8202826.4040774815,8202826.4040774815,gas_gap,7.656249999999998e-13
0.0,3.8499999999999994e-05,280.47812469660283,0.0,-8375419.997781559,8375419.997781559,gas_gap,7.656249999999998e-13
0.0,3.9374999999999995e-05,287.88565620956126,0.0,-8557300.119287586,8557300.119287586,gas_gap,7.656249999999998e-13
0.0,4.0249999999999996e-05,295.45484386680795,0.0,-8744091.21836594,8744091.21836594,gas_gap,7.656249999999998e-13
0.0,4.1125e-05,303.1876378993627,0.0,-8930234.555443173,8930234.555443173,gas_gap,7.656249999999998e-13
0.0,4.199999999999999e-05,311.0806270831414,0.0,-9109051.818993604,9109051.818993604,gas_gap,7.656249999999998e-13
0.0,4.287499999999999e-05,319.1241189415785,0.0,-9272897.354439335,9272897.354439335,gas_gap,7.656249999999998e-13
0.0,4.374999999999999e-05,327.30139442181604,0.0,-9413405.227141477,9413405.227141477,gas_gap,7.656249999999998e-13
0.0,4.4624999999999994e-05,335.58822022363853,0.0,-9521830.273881208,9521830.273881208,gas_gap,7.656249999999998e-13
0.0,4.5499999999999995e-05,343.9526976407379,0.0,-9589473.94975834,9589473.94975834,gas_gap,7.656249999999998e-13
0.0,4.6374999999999996e-05,352.35551482165494,0.0,-9608176.805795372,9608176.805795372,gas_gap,7.656249999999998e-13
0.0,4.7249999999999997e-05,360.7506495855737,0.0,-9570850.683844617,9570850.683844617,gas_gap,7.656249999999998e-13
0.0,4.812499999999999e-05,369.0865429484347,0.0,-9472016.155607786,9472016.155607786,gas_gap,7.656249999999998e-13
0.0,4.899999999999999e-05,377.30773080092973,0.0,-9308305.344677843,9308305.344677843,gas_gap,7.656249999999998e-13
0.0,4.987499999999999e-05,385.3568850291852,0.0,-9078887.934114907,9078887.934114907,gas_gap,7.656249999999998e-13
0.0,5.0749999999999994e-05,393.17717875753794,0.0,-8785779.528904045,8785779.528904045,gas_gap,7.656249999999998e-13
0.0,5.1624999999999994e-05,400.71485672597464,0.0,-8433996.925265007,8433996.925265007,gas_gap,7.656249999999998e-13
0.0,5.2499999999999995e-05,407.92186459211445,0.0,-8031534.130156261,8031534.130156261,gas_gap,7.656249999999998e-13
0.0,5.337499999999999e-05,414.75837337689114,0.0,-7589145.613569835,7589145.613569835,gas_gap,7.656249999999998e-13
0.0,5.424999999999999e-05,421.1950298787574,0.0,-7119938.27063877,7119938.27063877,gas_gap,7.656249999999998e-13
0.0,5.512499999999999e-05,427.21477215754277,0.0,-6638789.576542585,6638789.576542585,gas_gap,7.656249999999998e-13
0.0,5.599999999999999e-05,432.81407134831943,0.0,-6161624.874094001,6161624.874094001,gas_gap,7.656249999999998e-13
0.0,5.687499999999999e-05,438.00349592153316,0.0,-5704600.036802918,5704600.036802918,gas_gap,7.656249999999998e-13
0.0,5.7749999999999994e-05,442.8075395175986,0.0,-5283245.440049568,5283245.440049568,gas_gap,7.656249999999998e-13
0.0,5.8624999999999995e-05,447.2637049659678,0.0,-4911632.118883518,4911632.118883518,gas_gap,7.656249999999998e-13
0.0,5.949999999999999e-05,451.4208905743505,0.0,-4601620.5392910065,4601620.5392910065,gas_gap,7.656249999999998e-13
0.0,6.037499999999999e-05,455.33717544082623,0.0,-4362246.477965624,4362246.477965624,gas_gap,7.656249999999998e-13
0.0,6.125e-05,459.077143786497,0.0,-4199287.605892322,4199287.605892322,gas_gap,7.656249999999998e-13
0.0,6.212499999999999e-05,462.70892020798783,0.0,-4115039.55917016,4115039.55917016,gas_gap,7.656249999999998e-13
0.0,6.299999999999999e-05,466.30110550625903,0.0,-4108313.035277035,4108313.035277035,gas_gap,7.656249999999998e-13
